City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Hofn,64.2539,-15.2082,overcast clouds,52.59,98,100,11.61,IS,2022-08-07 20:38:17
112,Iqaluit,63.7506,-68.5145,scattered clouds,46.13,87,40,8.05,CA,2022-08-07 20:36:01
113,Chapais,49.7834,-74.8492,overcast clouds,60.58,38,100,8.1,CA,2022-08-07 20:34:00
114,Kushima,31.4583,131.2333,scattered clouds,78.46,89,39,4.12,JP,2022-08-07 20:38:18
115,Bethel,41.3712,-73.414,clear sky,94.05,65,0,18.41,US,2022-08-07 20:30:18
116,Cherskiy,68.75,161.3,overcast clouds,39.85,70,91,3.94,RU,2022-08-07 20:28:44
117,Ercis,39.0287,43.3586,clear sky,68.63,43,0,1.81,TR,2022-08-07 20:38:19
118,Sosnovo-Ozerskoye,52.5249,111.5418,few clouds,40.15,92,13,8.14,RU,2022-08-07 20:38:19
119,Andenes,69.3143,16.1194,broken clouds,49.98,93,75,13.8,NO,2022-08-07 20:38:20
120,Ahuatempan,18.4167,-98.0167,overcast clouds,82.18,30,100,18.45,MX,2022-08-07 20:38:20
121,Phonhong,18.5007,102.4166,light rain,73.99,98,100,1.21,LA,2022-08-07 20:38:21
122,Bredasdorp,-34.5322,20.0403,clear sky,53.62,95,2,5.21,ZA,2022-08-07 20:28:54
123,Lasa,46.6166,10.7002,broken clouds,67.08,89,84,1.32,IT,2022-08-07 20:38:22
124,Poso,-1.3959,120.7524,overcast clouds,75.13,84,96,4.25,ID,2022-08-07 20:38:23
125,Nanortalik,60.1432,-45.2371,clear sky,45.25,81,6,9.24,GL,2022-08-07 20:38:23
126,Jieshi,22.8134,115.8257,overcast clouds,81.41,82,90,11.18,CN,2022-08-07 20:38:23
127,Coquimbo,-29.9533,-71.3436,few clouds,60.53,58,20,10.36,CL,2022-08-07 20:38:24
128,Mengcheng,33.2579,116.5655,overcast clouds,83.43,69,99,6.6,CN,2022-08-07 20:38:25
129,Dikson,73.5069,80.5464,moderate rain,42.21,100,100,8.48,RU,2022-08-07 20:28:38
130,Promyshlennaya,54.9159,85.6385,scattered clouds,61.75,80,40,3.94,RU,2022-08-07 20:38:25
131,Koungou,-12.7336,45.2042,clear sky,69.51,88,0,0.0,YT,2022-08-07 20:38:26
132,Mehamn,71.0357,27.8492,light rain,48.15,93,75,11.5,NO,2022-08-07 20:33:49
133,Kurilsk,45.2333,147.8833,broken clouds,58.91,95,79,10.78,RU,2022-08-07 20:39:26
134,Longyearbyen,78.2186,15.6401,overcast clouds,45.14,93,100,1.1,SJ,2022-08-07 20:39:27
135,Porto Murtinho,-21.6989,-57.8825,light rain,74.75,76,100,5.19,BR,2022-08-07 20:39:27
136,Evensk,61.95,159.2333,overcast clouds,55.83,83,100,1.7,RU,2022-08-07 20:39:28
137,Kampot,10.6167,104.1833,overcast clouds,82.45,86,100,7.54,KH,2022-08-07 20:39:28
138,Muroto,33.2833,134.15,broken clouds,82.83,79,84,6.17,JP,2022-08-07 20:39:29
139,Kenitra,34.261,-6.5802,clear sky,72.36,82,7,4.43,MA,2022-08-07 20:39:29
140,Srednekolymsk,67.45,153.6833,overcast clouds,54.81,42,85,13.42,RU,2022-08-07 20:39:30
141,Kampen,52.555,5.9111,clear sky,65.97,78,1,6.87,NL,2022-08-07 20:39:31
142,Ponta Do Sol,32.6667,-17.1,clear sky,73.71,81,1,3.42,PT,2022-08-07 20:30:19
143,Vao,-22.6667,167.4833,clear sky,72.25,83,0,10.89,NC,2022-08-07 20:39:31
144,Faanui,-16.4833,-151.75,broken clouds,76.98,71,78,25.03,PF,2022-08-07 20:39:32
145,Norman Wells,65.282,-126.8329,broken clouds,66.24,52,75,8.05,CA,2022-08-07 20:39:32
146,Lukulu,-14.3707,23.242,clear sky,60.8,26,0,6.49,ZM,2022-08-07 20:39:32
147,Erdenet,49.0333,104.0833,clear sky,50.07,84,10,1.74,MN,2022-08-07 20:35:24
148,Kapaa,22.0752,-159.319,overcast clouds,82.72,76,100,11.5,US,2022-08-07 20:36:06
149,Veraval,20.9,70.3667,light rain,81.18,89,100,13.42,IN,2022-08-07 20:39:33
150,Sembakung,3.8167,117.25,overcast clouds,71.13,96,98,1.14,ID,2022-08-07 20:39:34
151,Mar Del Plata,-38.0023,-57.5575,broken clouds,49.08,80,75,10.36,AR,2022-08-07 20:30:17
152,Eureka,40.8021,-124.1637,overcast clouds,73.2,82,90,5.01,US,2022-08-07 20:39:34
153,Yellowknife,62.456,-114.3525,broken clouds,63.12,67,75,5.75,CA,2022-08-07 20:39:35
154,Saint-Georges,12.0564,-61.7485,few clouds,85.68,74,20,11.5,GD,2022-08-07 20:39:35
155,Dingzhou,38.5131,114.9956,broken clouds,80.71,95,62,6.78,CN,2022-08-07 20:39:36
156,Domoni,-12.2569,44.5319,clear sky,73.49,73,7,3.11,KM,2022-08-07 20:39:36
157,Vila Franca Do Campo,37.7167,-25.4333,light rain,72.01,88,29,6.69,PT,2022-08-07 20:39:37
158,Taybad,34.74,60.7756,clear sky,82.09,22,0,18.23,IR,2022-08-07 20:39:37
159,Drakino,51.139,39.4021,scattered clouds,71.83,39,34,6.17,RU,2022-08-07 20:39:37
160,Ryazanovskiy,55.55,39.4333,overcast clouds,63.63,94,100,6.8,RU,2022-08-07 20:39:38
161,Laguna,38.421,-121.4238,clear sky,93.34,34,0,10.36,US,2022-08-07 20:35:18
162,Mitu,1.1983,-70.1733,broken clouds,83.05,68,54,2.95,CO,2022-08-07 20:39:38
163,Georgetown,5.4112,100.3354,few clouds,82.33,90,20,2.3,MY,2022-08-07 20:36:52
164,San Ramon,37.7799,-121.978,clear sky,84.65,52,0,13.8,US,2022-08-07 20:38:57
165,Hamilton,39.1834,-84.5333,light rain,90.72,67,0,16.11,US,2022-08-07 20:38:03
166,Neiafu,-18.65,-173.9833,scattered clouds,79.48,78,40,9.22,TO,2022-08-07 20:39:40
167,Najran,17.4924,44.1277,clear sky,84.85,35,8,5.06,SA,2022-08-07 20:39:40
168,Inirida,3.8653,-67.9239,overcast clouds,81.52,75,95,1.5,CO,2022-08-07 20:39:41
169,Taksimo,56.3444,114.8794,scattered clouds,46.6,82,33,3.87,RU,2022-08-07 20:39:41
170,Carnarvon,-24.8667,113.6333,clear sky,62.08,77,0,11.7,AU,2022-08-07 20:39:41
171,Santa Cruz,-17.8,-63.1667,overcast clouds,69.85,94,100,8.05,BO,2022-08-07 20:39:42
172,Pontianak,-0.0333,109.3333,mist,73.38,100,76,1.14,ID,2022-08-07 20:39:42
173,Christchurch,-43.5333,172.6333,broken clouds,39.9,88,75,8.05,NZ,2022-08-07 20:35:11
174,Bambous Virieux,-20.3428,57.7575,broken clouds,66.45,94,75,3.44,MU,2022-08-07 20:37:21
175,Olinda,-8.0089,-34.8553,scattered clouds,78.53,69,40,9.22,BR,2022-08-07 20:39:43
176,Margate,51.3813,1.3862,clear sky,66.31,72,4,1.99,GB,2022-08-07 20:39:43
177,Sao Cristovao,-11.0147,-37.2064,broken clouds,78.71,69,75,12.66,BR,2022-08-07 20:39:44
178,Abu Kamal,34.4506,40.9171,clear sky,92.98,16,0,10.27,SY,2022-08-07 20:40:44
179,Bosaso,11.2842,49.1816,overcast clouds,91.89,39,97,15.32,SO,2022-08-07 20:40:45
180,Port Moresby,-9.4431,147.1797,broken clouds,78.22,83,75,6.91,PG,2022-08-07 20:40:45
181,Dalvik,65.9702,-18.5286,overcast clouds,57.13,95,100,2.19,IS,2022-08-07 20:40:46
182,Dingle,10.9995,122.6711,overcast clouds,73.92,92,100,3.89,PH,2022-08-07 20:40:46
183,Kuytun,54.3419,101.5036,clear sky,45.75,89,6,3.0,RU,2022-08-07 20:40:46
184,Praia,14.9215,-23.5087,broken clouds,82.94,78,75,4.61,CV,2022-08-07 20:40:47
185,Mbanza-Ngungu,-5.25,14.8667,few clouds,73.22,50,14,4.16,CD,2022-08-07 20:40:47
186,Calvia,39.5657,2.5062,clear sky,84.92,67,4,1.59,ES,2022-08-07 20:37:35
187,Saint Anthony,45.0205,-93.218,few clouds,76.33,71,20,6.91,US,2022-08-07 20:40:48
188,Churapcha,62.0025,132.4325,clear sky,52.38,80,7,4.94,RU,2022-08-07 20:40:49
189,Pangoa,-12.1167,-73.0,broken clouds,80.78,61,73,2.42,PE,2022-08-07 20:40:49
190,Cadiz,36.5,-5.75,clear sky,69.75,82,0,2.06,ES,2022-08-07 20:40:49
191,Rundu,-17.9333,19.7667,clear sky,63.77,28,0,5.03,NA,2022-08-07 20:40:50
192,Victoria,22.2855,114.1577,overcast clouds,84.38,88,97,8.99,HK,2022-08-07 20:36:04
193,Mount Gambier,-37.8333,140.7667,clear sky,39.2,91,10,4.47,AU,2022-08-07 20:40:50
194,Chara,56.9064,118.2631,overcast clouds,51.94,81,100,4.56,RU,2022-08-07 20:40:55
195,Tarko-Sale,64.9225,77.785,broken clouds,58.39,81,81,10.8,RU,2022-08-07 20:40:55
196,Atar,20.5169,-13.0499,clear sky,101.34,23,6,15.79,MR,2022-08-07 20:40:56
